target_task,component,intervention_type,target_effect,mean_other_effect,selectivity,max_other_effect,leaks
SV_Agreement,head_8_5,necessity,0.18308543887951345,0.0034652292106814586,0.179620209668832,0.005642601596965346,0
SV_Agreement,head_6_0,necessity,0.1192116529850272,0.008612796296772468,0.11059885668825473,0.01638285517675439,0
SV_Agreement,head_10_5,necessity,0.08978716902869617,0.0004530330454941106,0.08933413598320206,0.0007683844320047258,0
SV_Agreement,head_5_2,necessity,0.0607246395107017,0.0032289480787753757,0.05749569143192632,0.006050011429726079,0
SV_Agreement,head_11_10,necessity,0.05522594487386294,0.128385046716791,-0.07315910184292805,0.2562538112178858,1
SV_Agreement,head_4_3,necessity,0.05067968244218379,0.010357895934922621,0.040321786507261176,0.02054430387441245,0
SV_Agreement,mlp_7,necessity,0.042445570214611095,0.03801643289711745,0.004429137317493642,0.04509165927263775,0
SV_Agreement,mlp_4,necessity,0.04044413920071731,0.03172640299937901,0.008717736201338297,0.035587176608639276,0
SV_Agreement,head_7_8,necessity,0.033169292865937734,0.0015869036123084975,0.03158238925362924,0.001937534426062185,0
SV_Agreement,mlp_8,sufficiency,0.42116330899984455,0.07080282268250482,0.35036048631733974,0.08289870544077771,1
SV_Agreement,mlp_10,sufficiency,0.36802307965445613,0.28826318979726107,0.07975988985719507,0.5616634517982688,1
SV_Agreement,mlp_11,sufficiency,0.2708384838855316,0.034570753548689194,0.23626773033684242,0.04660309646956798,0
SV_Agreement,head_7_4,sufficiency,0.2269503350559992,0.0007837270712476916,0.22616660798475152,0.0008085542863981543,0
SV_Agreement,mlp_9,sufficiency,0.19720882183283076,0.22221145762969544,-0.02500263579686468,0.4289830283791408,1
SV_Agreement,head_10_9,sufficiency,0.18874287889342298,0.0021146511311975758,0.1866282277622254,0.0035110148401270302,0
SV_Agreement,head_8_5,sufficiency,0.1770555289173173,0.0010613287081551654,0.17599420020916212,0.0016999845008777068,0
SV_Agreement,head_6_0,sufficiency,0.11825919293498731,0.0007642428159699609,0.11749495011901735,0.0014955799075446266,0
SV_Agreement,head_10_5,sufficiency,0.08545098151666922,0.00021525122664408213,0.08523573029002514,0.0003726018138248833,0
SV_Agreement,head_5_2,sufficiency,0.0609275298591125,0.0014351355107412606,0.05949239434837124,0.0014857838547567477,0
SV_Agreement,head_11_10,sufficiency,0.0519995014775536,0.13455875287752941,-0.08255925139997582,0.2684736406690442,1
SV_Agreement,head_4_3,sufficiency,0.04981199408783731,0.007378409927293063,0.04243358416054425,0.011757055606648534,0
SV_Agreement,mlp_7,sufficiency,0.042323640247869554,0.07085750132027006,-0.02853386107240051,0.10672720398369498,1
SV_Agreement,mlp_5,sufficiency,0.041949798011264985,0.0451745723025597,-0.003224774291294717,0.06383923225813799,1
SV_Agreement,mlp_4,sufficiency,0.03876073200457646,0.027191012909026563,0.0115697190955499,0.037330319583236654,0
Greater_Than,mlp_10,necessity,0.555830391153318,0.19342201021121655,0.3624083809421015,0.38603156938431205,1
Greater_Than,head_9_1,necessity,0.4533763737763509,0.00021278858875189806,0.453163585187599,0.0003069458328939374,0
Greater_Than,mlp_9,necessity,0.4475380195265944,0.10711685158814477,0.3404211679384496,0.20369464045892843,1
Greater_Than,head_7_10,necessity,0.15049505221441212,0.00029826649964133606,0.15019678571477077,0.0004376569131511469,0
Greater_Than,head_8_11,necessity,0.13995575536582483,0.005770752409668259,0.13418500295615657,0.011389506042219428,0
Greater_Than,mlp_1,necessity,0.09820712584399546,0.026166068898746852,0.07204105694524861,0.029705711151184207,0
Greater_Than,mlp_8,necessity,0.07793446699013722,0.2140953077953909,-0.1361608408052537,0.414709385885635,1
Greater_Than,mlp_2,necessity,0.05906456165596809,0.024438068163839366,0.03462649349212872,0.045771444000311176,0
Greater_Than,head_6_9,necessity,0.04841148976977215,0.0004225542191423744,0.047988935550629774,0.0008308017526715488,0
Greater_Than,mlp_11,necessity,0.04361374719684511,0.15117015658203328,-0.10755640938518818,0.2817294917788308,1
Greater_Than,mlp_3,necessity,0.04152203267095263,0.008247526847871538,0.033274505823081085,0.008800943722459369,0
Greater_Than,mlp_7,necessity,0.030941206521597157,0.04376861474362442,-0.012827408222027267,0.04509165927263775,0
Greater_Than,mlp_4,necessity,0.02786562939011874,0.03801565790467829,-0.010150028514559553,0.04044413920071731,0
Greater_Than,head_6_1,necessity,0.02743951686961993,0.0036167321770311264,0.023822784692588802,0.007205838377464359,0
Greater_Than,head_10_2,necessity,0.024256976755659385,0.006867566693865938,0.017389410061793446,0.01360116057273189,0
Greater_Than,mlp_10,sufficiency,0.5616634517982688,0.1914430037253547,0.3702204480729141,0.36802307965445613,1
Greater_Than,head_9_1,sufficiency,0.46889134677697,0.00031588212741059257,0.4685754646495594,0.0005445641790826829,0
Greater_Than,mlp_9,sufficiency,0.4289830283791408,0.10632435435654039,0.3226586740226004,0.19720882183283076,1
Greater_Than,head_7_10,sufficiency,0.17871050538679792,0.000504447444143448,0.17820605794265448,0.0008811529717352225,0
Greater_Than,head_8_11,sufficiency,0.173109276324343,0.0017481082274450241,0.17136116809689797,0.003261890285466006,0
Greater_Than,head_0_1,sufficiency,0.14113558081553623,0.019828726603830497,0.12130685421170573,0.03161576740861301,0
Greater_Than,mlp_1,sufficiency,0.06603288572003652,0.05404928903560186,0.011983596684434654,0.08147659916892905,1
Greater_Than,mlp_8,sufficiency,0.05870693992423193,0.25203100722031113,-0.1933240672960792,0.42116330899984455,1
Greater_Than,head_1_5,sufficiency,0.056745943721429465,0.0028684717221590644,0.0538774719992704,0.003617498884460344,0
Greater_Than,head_6_9,sufficiency,0.048636571963438055,5.65484696813853e-05,0.04858002349375667,9.374965447859393e-05,0
Greater_Than,mlp_11,sufficiency,0.04660309646956798,0.14668844725667102,-0.10008535078710304,0.2708384838855316,1
Greater_Than,head_0_5,sufficiency,0.04249712723715955,0.008858213731199285,0.033638913505960266,0.014890465875955975,0
Greater_Than,mlp_7,sufficiency,0.034987798656845155,0.07452542211578227,-0.03953762345893711,0.10672720398369498,1
Greater_Than,head_10_7,sufficiency,0.03393003813388038,0.25685217096409674,-0.22292213283021636,0.5130932559229329,1
Greater_Than,head_0_3,sufficiency,0.03173132754771667,0.010362035277455148,0.02136929227026152,0.01817562249958441,0
